NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY_TERRITORY_AREA,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,COMMENTS,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE_ENTRY,Sys_BatchID
19829,GPHIN06032,GPHIN,6032,AFRO,Nigeria,NGA,566,national,,,,RESTRICTING OR LIMITING GATHERINGS,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",,,,"Nigeria has announced a two-week extension of containment measures aimed at curbing the spread of COVID-19 in Lagos, Abuja and Ogun states.  Since 31 March, the capital Abuja, Lagos and Ogun states have had to adopt strict restriction measures and have closed their borders, disrupting food distribution chains. According to the government, aid has been unable to calm the hunger and anger of the population as riots, burglaries and criminal acts have increased sharply in the last 24 hours of 14 April.",,,,Media,https://www.africanews.com/2020/04/15/buhari-extends-lockdown-nigeria-faults-guangdong-govt-over-racism-row/,,2020-04-15,,2020-04-15,9261
10336,CDC_ITF_1251,CDC_ITF,CDC-ITF-NG-00009,AFRO,Nigeria,NGA,566,other,Subnational/regional only,,Movement restrictions,Mandatory lockdown,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,Some states implementing stay-at-home orders. NA,,Impose,,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening,,2020-03-30,,2020-03-31,9261
17011,GPHIN04571,GPHIN,4571,AFRO,Nigeria,NGA,566,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,The Nigerian President on 29 March ordered the cessation of movement in Lagos and the capital Abuja for 14 days in an attempt to curb the spread of the coronavirus.,,,,Media,https://nationalpost.com/pmn/health-pmn/nigeria-orders-14-day-cessation-of-movement-in-lagos-abuja-to-fight-coronavirus-2,,2020-03-30,,2020-03-30,9261
18335,GPHIN05267,GPHIN,5267,AFRO,Nigeria,NGA,566,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Nigeria plans to create a 500 billion naira ($1.39bn) coronavirus fund to strengthen its healthcare infrastructure to tackle the virus, the government said.",,,,Media,https://www.aljazeera.com/news/2020/04/recession-coronavirus-crisis-live-updates-200403233012626.html,,2020-04-06,,2020-04-06,9261
21092,GPHIN06836,GPHIN,6836,AFRO,Nigeria,NGA,566,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"On 23 April,  the governors of all of Nigeria's states announced a ban on interstate movement through 7 May. Only those providing essential services will be permitted to cross state boundaries. States are empowered to block entry points, and reports suggest that barriers have been set up at crossings in Abia, Akwa Ibom, Cross Rivers, and Ebonyi states.",,,,Media,https://www.garda.com/crisis24/news-alerts/335676/nigeria-state-governors-ban-interstate-travel-through-may-7-update-15,,2020-04-23,,2020-04-23,9261
6040,ACAPS_6040,ACAPS,4648,AFRO,Nigeria,NGA,566,national,,Social distancing,,Changes in prison-related policies,4.4.2,Social and physical distancing measures,Special populations,Protecting populations in closed settings,Yes,,,"Nigeria’s president has pardoned 2,600 prisoners to reduce overcrowding in the West African country’s jails and slow the spread of the novel coronavirus.",Not applicable,Introduction / extension of measures,Reuters,Media,https://af.reuters.com/article/topNews/idAFKCN21R23G-OZATP,,2020-04-09,,2020-04-10,9261
6066,ACAPS_6066,ACAPS,8912,AFRO,Nigeria,NGA,566,national,,Movement restrictions,,Curfews,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,No,,,A nationwide curfew from 8pm to 6am has be instated. This means all movements are will be prohibited during this period except essential services.,Not available,Introduction / extension of measures,BBC,Media,https://www.bbc.com/news/world/africa/live,https://www.voanews.com/covid-19-pandemic/nigeria-president-announce-easing-some-lockdown-restrictions,2020-05-02,,2020-05-04,9261
6045,ACAPS_6045,ACAPS,5671,AFRO,Nigeria,NGA,566,other,Kano,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,"A seven-day lockdown has come into effect in Nigeria's northern economic powerhouse, Kano state, in an effort to contain the coronavirus pandemic.",,Introduction / extension of measures,BBC,Media,https://www.bbc.com/news/world/africa/live,,2020-04-17,,2020-04-16,9261
17120,GPHIN04660,GPHIN,4660,AFRO,Nigeria,NGA,566,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Over in Nigeria’s commercial hub of Lagos, the state government announced an Emergency Food Response as a means of supporting indigenes and the vulnerable. Neighbouring Ekiti State has announced a similar measures, by reactivating the State’s food bank to support the vulnerable.",,,,Media,,,2020-03-31,,2020-03-31,9261
21093,GPHIN06836,GPHIN,6836,AFRO,Nigeria,NGA,566,national,,,,LOCKDOWN OR CURFEW,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,"On 23 April,  the governors of all of Nigeria's states announced a ban on interstate movement through 7 May. Only those providing essential services will be permitted to cross state boundaries. States are empowered to block entry points, and reports suggest that barriers have been set up at crossings in Abia, Akwa Ibom, Cross Rivers, and Ebonyi states.",,,,Media,https://www.garda.com/crisis24/news-alerts/335676/nigeria-state-governors-ban-interstate-travel-through-may-7-update-15,,2020-04-23,,2020-04-23,9261
19763,GPHIN06007,GPHIN,6007,AFRO,Nigeria,NGA,566,national,,,,RESTRICTING OR LIMITING GATHERINGS,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",,,,"Local authorities announced the implementation of a week-long lockdown in Kano state starting from 16 April. Ssocial, and religious activities will be banned for the duration of the lockdown.",,,,Media,https://www.garda.com/crisis24/news-alerts/332546/nigeria-authorities-implement-week-long-lockdown-in-kano-state-as-of-april-16-update-10,,2020-04-15,,2020-04-15,9261
6031,ACAPS_6031,ACAPS,2103,AFRO,Nigeria,NGA,566,national,,Movement restrictions,,International flights suspension,5.7,International travel measures,,Suspending or restricting international flights,No,,,Limited international travel to the two international airports in Lagos and Abuja.,Not applicable,Introduction / extension of measures,Ministry of Health Twitter,Social media,https://twitter.com/Fmohnigeria?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,2020-03-20,,2020-03-24,9261
25731,OxCGRT3693,OxCGRT,OXCGRT012658,AFRO,Nigeria,NGA,566,national,,,,C2 - workplace closing - 1,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,0,,,A circular was issued by the Head of Civil Service of the Federation (HCSF) directing public servants on Grade Levels 12 and below on non-essential roles to work from home.; https://statehouse.gov.ng/news/covid-19-what-president-buhari-has-done-and-is-doingby-presidency/ (not archivable),Recommended,,,,,,2020-03-27,,,9261
6061,ACAPS_6061,ACAPS,8606,AFRO,Nigeria,NGA,566,other,Lagos,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,"lockdown of this state shall remain in place until the new nationwide measures come into effect on Monday, 4th May 2020.",Not available,Introduction / extension of measures,Federal Ministry of Health,Social media,https://twitter.com/Fmohnigeria/status/1254873913072459776?s=20,,2020-04-27,,2020-05-01,9261
25732,OxCGRT3694,OxCGRT,OXCGRT012659,AFRO,Nigeria,NGA,566,national,,,,C4 - restrictions on gathering size - 4,4.3.3,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, closing, restricting or adapting public gatherings outside the home",<10,,,"'The Imo state governor, Hope Uzodinma, has finally banned all weddings, burial ceremonies as well as open religious activities, to avoid the spread of the deadly covid-19 virus in the state till further notice.'    http://web.archive.org/web/20200409093527/https://www.vanguardngr.com/2020/03/breaking-covid-19-no-more-weddings-burial-in-imo-uzodinma-talks-tough/",,,,,,,2020-03-28,,,9261
25722,OxCGRT3684,OxCGRT,OXCGRT012649,AFRO,Nigeria,NGA,566,national,,,,H4 - emergency investment in healthcare,8.3,Other measures,,Financial packages,,272869480,,"Nigeria’s central bank will inject 100 billion naira in loans to the health sector, as Africa’s most populous country announced its eighth confirmed coronavirus case on Wednesday. N1=USD0.0027286948    https://web.archive.org/web/20200413005153/https://af.reuters.com/article/nigeriaNews/idAFL8N2BB8IZ",,,,,,,2020-03-18,,,9261
16907,GPHIN04480,GPHIN,4480,AFRO,Nigeria,NGA,566,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"The Ogun State Government has announced the closure of its borders with neighbouring states and the international border with the Republic of Benin. The closure will take effect from midnight on Sunday, 29 March 2020, and be in force for two weeks in the first instance. As a result, movement in and out of the state is banned.",,,,Media,http://saharareporters.com/2020/03/29/ogun-government-closes-land-borders-over-coronavirus-outbreak,,2020-03-29,,2020-03-29,9261
25734,OxCGRT3696,OxCGRT,OXCGRT012660,AFRO,Nigeria,NGA,566,national,,,,C2 - workplace closing - 3,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,0,,,"The President announced a lockdown in the cities of Lagos and Abuja on 29 March. The regulations state ""all businesses and offices should be fully closed during this period""; https://web.archive.org/web/20200412230944/https://covid19.ncdc.gov.ng/resource/COVID-19_REGULATIONS_2020_20200330214102.pdf  Many other states like Plateau,  Yobe, Jigawa and Bauchi imposed lockdowns subsequently.   On April 13, the President extended ongoing lockdowns in the first set of states till 27 April  Source:  https://web.archive.org/web/20200426160536/https://www.garda.com/crisis24/news-alerts/327406/nigeria-government-locks-down-major-cities-due-to-covid-19-from-march-30-update-4  Source: https://web.archive.org/web/20200426160637/https://www.garda.com/crisis24/news-alerts/332016/nigeria-lagos-abuja-and-ogun-state-lockdowns-extended-for-14-days-april-13-update-8",Required,,,,,,2020-03-29,,,9261
14231,GPHIN02345,GPHIN,2345,AFRO,Nigeria,NGA,566,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"A drug which could be a potential treatment agent for the dreaded Coronavirus has been discovered by Bio-Resources Institute of Nigeria (BION). A former Chairman of the Independent National Electoral Commission (INEC), told the ministers that the compounds that made up the drug had exhibited significant antiviral activity against deadly SARS which is deadlier than COVID-19. He said his institute had concluded arrangements with the Antiviral Program of the US National Institute of Health (US-NIH) to subject the compound to bioassay against the SARS-CoV-2.",,,,Media,https://www.dailytrust.com.ng/coronavirus-nigerian-institute-discovers-potential-drug-for-treatment.html,,2020-03-02,,2020-03-02,9261
14192,GPHIN02312,GPHIN,2312,AFRO,Nigeria,NGA,566,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"The Government of Nigeria has partnered with different stakeholders in the airport industry to extend the preventive measures against the coronavirus (Covid-19) outbreak at the country’s airports. According to the head of Nigerian Civil Aviation Authority (NCAA), the new measures will ensure that incoming travellers are screened properly while ensuring ‘minimal disruption’. He also asked airlines, airport operators, security agencies and other stakeholders to initiate necessary precautionary measures to safeguard their staff. Passengers are advised to remain alert and calm during travel and to adopt necessary precautions to protect themselves.
In addition, the Nigeria Centre for Disease Control (NCDC) has announced the fourth public health advisory to avoid the spread of the coronavirus. The advisory stated that the Port Health Services of the Federal Ministry of Health increased screening measures at all points of entry. Along with the automated temperature screening, travellers who are entering the country will also have to fill out a contact form and will be asked questions regarding any symptoms and travel history.",,,,Media,https://www.airport-technology.com/news/coronavirus-nigeria-preventive-measures/,,2020-03-02,,2020-03-02,9261
6036,ACAPS_6036,ACAPS,3117,AFRO,Nigeria,NGA,566,other,Abuja,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,All people are told to remain at home and all but essential businessed are closed for a period of 14 days.,,Introduction / extension of measures,Al Jazeera,Media,https://www.aljazeera.com/news/2020/03/nigeria-announces-lockdown-major-cities-curb-coronavirus-200330095100706.html,,2020-03-30,,2020-03-31,9261
6065,ACAPS_6065,ACAPS,8911,AFRO,Nigeria,NGA,566,other,Ogun,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,"Nigeria has approved a phased and gradual easing of lockdown measures in FCT, Lagos and Ogun States effective from Saturday, 2nd May, 2020 at 9am.",Not applicable,Phase-out measure,Nairametrics - President speech transcript,Media,https://nairametrics.com/2020/04/27/fill-speech-of-president-buhari-on-covid-19-pandemic/,,2020-05-02,,2020-05-04,9261
19906,GPHIN06092,GPHIN,6092,AFRO,Nigeria,NGA,566,national,,,,PPE,8.2,Other measures,,Scaling up,,,,"A shipment of ventilators and other essential medical supplies procured by the UN system in Nigeria to support the Government’s COVID-19 response arrived at Nnamdi Azikiwe International Airport on 15 April. The consignment includes 50 A30 ventilators and personal protective supplies procured with funds from the recently launched COVID-19 Basket Fund, including USD $2 million mobilised within the UN system in Nigeria and a USD $200,000 contribution from APM Terminals. The arrival of the medical equipment and supplies will be a boost to the Government’s efforts to provide an efficient and effective healthcare response for those affected by the virus. The supplies will be deployed around the country to health facilities in most need due to the outbreak, and coordination structures are already in place between the Government and the UN to ensure urgent deployment.
The next shipment of personal protective equipment (PPE) expected to arrive in Nigeria later this month",,,,Media,https://reliefweb.int/report/nigeria/un-procures-ventilators-and-other-medical-supplies-boost-government-nigeria-s,,2020-04-15,,2020-04-15,9261
17749,GPHIN05022,GPHIN,5022,AFRO,Nigeria,NGA,566,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"On 29 March, the Nigerian President announced a lockdown on Abuja, Lagos, Ogun State and the Federal Capital Territory (FCT) to prevent further spread of the coronavirus (COVID-19). All movement in the aforementioned areas will be prohibited for 14 days from 30 March. 
All international passenger flights into Lagos' Murtala Muhammed International Airport (LOS) and Abuja's Nnamdi Azikiwe International Airport (ABV) have been suspended since 23 March and will remain until 23 April. Exceptions will be made for emergency and essential flights. Authorities had previously halted international flights into Enugu, Kano, and Port Harcourt.
All seaports in Lagos will remain operational, and vehicles transporting essential cargo throughout the country will be screened thoroughly by the Ports Health Authority.",,,,Media,https://www.garda.com/crisis24/news-alerts/327406/nigeria-government-locks-down-major-cities-due-to-covid-19-from-march-30-update-4,,2020-04-02,,2020-04-02,9261
25743,OxCGRT3705,OxCGRT,OXCGRT012680,AFRO,Nigeria,NGA,566,national,,,,C8 - restrictions on international travel - 4,5.3,International travel measures,,Restricting entry,,,,https://www.reuters.com/article/health-coronavirus-nigeria-transport/nigeria-to-shut-lagos-abuja-international-airports-from-monday-idUSL8N2BE0KO,,,,,,,2020-04-18,,,9261
17012,GPHIN04571,GPHIN,4571,AFRO,Nigeria,NGA,566,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,The Nigerian President on 29 March ordered the cessation of movement in Lagos and the capital Abuja for 14 days in an attempt to curb the spread of the coronavirus.,,,,Media,https://nationalpost.com/pmn/health-pmn/nigeria-orders-14-day-cessation-of-movement-in-lagos-abuja-to-fight-coronavirus-2,,2020-03-30,,2020-03-30,9261
25725,OxCGRT3687,OxCGRT,OXCGRT012654,AFRO,Nigeria,NGA,566,national,,,,C1 - school closing - 2,4.1.2,Social and physical distancing measures,School measures,Closing,Targeted,,,"Federal government shuts down all universities nationwide starting on 23/03/2020.   https://web.archive.org/web/20200412222249/https://www.nuc.edu.ng/wp-content/uploads/2020/03/COVID-Circuler0001.pdf    Further, the government suspended all public schools of all levels from 26 March.  https://web.archive.org/web/20200412221231/http://education.gov.ng/covid-19-fg-orders-closure-of-unity-schools/",Required,,,,,,2020-03-23,,,9261
21993,IHR_818,IHR,529,AFRO,Nigeria,NGA,566,national,,International Travel,,flight_restriction all_country,5.7,International travel measures,,Suspending or restricting international flights,,,,,,,,,,,2020-04-02,,,9261
19106,GPHIN05673,GPHIN,5673,AFRO,Nigeria,NGA,566,national,,,,CLOSING PUBLIC PLACES,4.2.2,Social and physical distancing measures,"Offices, businesses, institutions and operations",Closing,,,,"Restrictive measures remain in place in Kaduna state, including social distancing orders and a 24-hour curfew, and were initially imposed on March 28. Local media sources on Wednesday, April 8, multiple individuals found to be violating the coronavirus (COVID-19) lockdown measures in place statewide have been arrested in Kaduna state in the last week.  A heightened security presence is to be expected in Kaduna state amid the lockdown restrictions. Further clashes between protesters and security forces are possible.",,,,Media,https://www.garda.com/crisis24/news-alerts/330956/nigeria-multiple-arrests-in-kaduna-state-amid-covid-19-lockdown-measures-april-8,,2020-04-09,,2020-04-09,9261
25739,OxCGRT3701,OxCGRT,OXCGRT012660,AFRO,Nigeria,NGA,566,national,,,,C7 - restrictions on internal movement - 2,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,0,,,"On March 29, Nigerian President Muhammadu Buhari announced a lockdown on Abuja, Lagos, Ogun State and the Federal Capital Territory (FCT).  No citizen is allowed to leave their home province during lockdown.  Many other states like Plateau,  Yobe, Jigawa and Bauchi imposed lockdowns subsequently.   On April 13, the President extended ongoing lockdowns in the first set of states till 27 April  Source:  https://web.archive.org/web/20200426160536/https://www.garda.com/crisis24/news-alerts/327406/nigeria-government-locks-down-major-cities-due-to-covid-19-from-march-30-update-4  Source: https://web.archive.org/web/20200426160637/https://www.garda.com/crisis24/news-alerts/332016/nigeria-lagos-abuja-and-ogun-state-lockdowns-extended-for-14-days-april-13-update-8",Required,,,,,,2020-03-29,,,9261
19765,GPHIN06007,GPHIN,6007,AFRO,Nigeria,NGA,566,national,,,,LOCKDOWN OR CURFEW,4.5.2,Social and physical distancing measures,Domestic travel,Stay-at-home order,,,,"Local authorities announced the implementation of a week-long lockdown in Kano state starting from 16 April. Ssocial, and religious activities will be banned for the duration of the lockdown.",,,,Media,https://www.garda.com/crisis24/news-alerts/332546/nigeria-authorities-implement-week-long-lockdown-in-kano-state-as-of-april-16-update-10,,2020-04-15,,2020-04-15,9261
18752,GPHIN05497,GPHIN,5497,AFRO,Nigeria,NGA,566,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"On 7 April, the state authorities of Yobe and Jigawa announced a lockdown extension of 21 and 14 days, respectively, in order to contain the spread of the coronavirus (COVID-19) outbreak in the country. As such, movement in and out the states will remain restricted for the duration of the lockdown while all non-essential businesses and offices will be closed.",,,,Media,https://www.garda.com/crisis24/news-alerts/330386/nigeria-authorities-extend-lockdown-measures-in-two-states-april-7-update-6,,2020-04-08,,2020-04-08,9261
11712,GPHIN00534,GPHIN,534,AFRO,Nigeria,NGA,566,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"The Nigeria Centre for Disease Control has put in place quick and diverse strategies to prevent importation of cases into country. A multi sectoral Coronavirus Preparedness Group has been constituted to carry out regular epidemic intelligence gathering, enhanced surveillance at the points of entry, intensive risk communications, strengthen laboratory capacity for testing, placing National First Rapid Response Team to highly pathogenic infections on alert, scaling up of Public Health Emergency Operation Centres (PHEOC) in 22 states etc.
The Port Health Services unit of the Federal Ministry of Health has heightened screening measures at points of entry. In addition to automated thermal screening at points of entry, travellers from China to Nigeria, are asked questions upon arrival by the Port Health Services unit about symptoms of illness and travel history and are advised to contact NCDC if they feel unwell after a trip to Wuhan.",,,,Official,https://ncdc.gov.ng/news/219/31st-january-2020%7C-public-health-advisory-to-nigerians-on-novel-coronavirus-%28%232%29,,2020-02-06,,2020-02-06,9261
6057,ACAPS_6057,ACAPS,8080,AFRO,Nigeria,NGA,566,other,Kano,Lockdown,,Partial lockdown,4.5.1,Social and physical distancing measures,Domestic travel,Suspending or restricting movement,No,,,"Kano state announces a 2 week ""total"" lockdown after to help with investigation of mysterious high rate of deaths which are not yet believed to be a result of covid-19 (speculation that they may be a result of private hospitals in the state closing down and thus other healthcare being unaccessible)",Not available,Introduction / extension of measures,BBC,Media,https://www.bbc.com/news/world/africa/live/page/2,,2020-04-28,,2020-04-27,9261
6047,ACAPS_6047,ACAPS,7055,AFRO,Nigeria,NGA,566,national,,Social distancing,,Changes in prison-related policies,4.4.2,Social and physical distancing measures,Special populations,Protecting populations in closed settings,Yes,,,Nigerian President asked the chief judge to free prison inmates who have been awaiting trial for six years or more to ease overcrowding as the novel coronavirus continues to spread.,Not applicable,Introduction / extension of measures,Al Jazeera,Media,https://www.aljazeera.com/news/2020/04/coronavirus-buhari-asks-nigeria-chief-judge-free-prisoners-200422053224030.html,,2020-04-21,,2020-04-22,9261
20649,GPHIN06550,GPHIN,6550,AFRO,Nigeria,NGA,566,national,,,,AIRPORT SCREENING: EXIT,5.6,International travel measures,,Exit screening and isolation or quarantine,,,,"On 20 April, the Nigerian authorities announced that the closure of the country's airports to commercial flights, originally planned to end on 23 April, will be extended for another two weeks.  Emergency and essential flights, such as cargo transportation, will continue to operate for the duration of the ban.
On the same day, local authorities announced the implementation of a two-week lockdown in Borno State following the state's first COVID-19 related fatality, effective 22 April.  As such, all but essential movement, as well as commercial, social, and religious activities are prohibited under the measure.",,,,Media,https://www.garda.com/crisis24/news-alerts/334576/nigeria-authorities-announce-airport-closure-extension-april-20-update-13,,2020-04-21,,2020-04-21,9261
