NUMBER,WHO_ID,DATASET,PROP_ID,WHO_REGION,COUNTRY /ORGANIZATION,COUNTRY_CODE,ISO_3166_1_NUMERIC,ADMIN_LEVEL,AREA_COVERED,PROV_CATEGORY,PROV_SUBCATEGORY,PROV_MEASURE,WHO_CODE,WHO_CATEGORY,WHO_SUBCATEGORY,WHO_MEASURE,TARGETED,VALUE_USD,PERCENT_INTEREST,SUMMARY,NON_COMPLIANCE,RESPONSE_TYPE,SOURCE,SOURCE_TYPE,LINK,SOURCE_ALT,DATE_START,DATE_END,DATE ADDED,Sys_BatchID
13220,GPHIN01613,GPHIN,1613,AMRO,Canada,CAN,124,national,,,,REPATRIATION,10,Not of interest,Not of interest,Not of interest,,,,"On 21 February 2020, the Chief Public Health Officer confirmed that the 180 Canadians from the first Government of Canada-chartered flight from Wuhan, as well as the 39 Canadians who returned to Canada on a separate flight chartered by the United States, have been released from quarantine. All of the quarantined individuals released to date, remained asymptomatic for the novel coronavirus throughout the 14-day quarantine period, pose no risk to others, and can return to their usual activities. Chief Public Health Officer is urging everyone to treat these repatriated Canadians with respect and compassion.",,,,Official,https://www.canada.ca/en/public-health/news/2020/02/statement-from-the-chief-public-health-officer-on-the-release-of-repatriated-canadians-from-quarantine-following-14-day-stay-at-cfb-trenton.html,,2020-02-24,,2020-02-24,9261
17536,GPHIN04926,GPHIN,4926,AMRO,United States Of America,USA,840,national,,,,PPE,8.2,Other measures,,Scaling up,,,,"CDC has developed a webpage for Strategies to Optimize the Supply of PPE and Equipment, including information related to eye protection, isolation gowns, facemasks and N95 respirators as well as ventilators. It also illustrates how to put on and take off PPE; Decontamination and Reuse of Filtering Facepiece Respirators and Personal Protective Equipment (PPE) Burn Rate Calculator etc.",,,,Official,https://www.cdc.gov/coronavirus/2019-ncov/hcp/ppe-strategy/index.html,,2020-04-02,,2020-04-02,9261
12145,GPHIN00847,GPHIN,847,WPRO,China,CHN,156,other,Taiwan,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"Starting from 11 February, all travelers arriving from areas outside China, Hong Kong and Macau will be required to complete a health declaration form and accurately provide their travel and contact history regarding whether they have visited China, Hong Kong and Macau over the past 14 days before entry. If travelers provide inaccurate information or refuse, evade or interfere with the provision of such information, violators will be fined up to NT$ 150,000.
With respect to travelers arriving from China, Hong Kong and Macau, the travelers are required to complete the Novel Coronavirus Health Declaration and Home Quarantine Notice and abide by home quarantine measures within 14 days after entering Taiwan.",,,,Official,https://www.cdc.gov.tw/En/Bulletin/Detail/nn4-vFhmIl-4GqA_GDhtmQ?typeid=158,,2020-02-11,,2020-02-11,9261
12963,GPHIN01477,GPHIN,1477,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"The latest update from the Government of UK on 21 Feburuary has advised travellers returning from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia, Macau in the last 14 days and develop flu-like symptoms to self-isolate and call NHS 111 to inform of travel history, 
As of 21 February, a total of 5,885 people have been tested in the UK, of which 5,876 were confirmed negative and 9 positive.",,,,Official,https://www.gov.uk/guidance/wuhan-novel-coronavirus-information-for-the-public,,2020-02-21,,2020-02-21,9261
16589,GPHIN04197,GPHIN,4197,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"The Public Health England has released a guidance for first responders as defined by the Civil Contingencies Act, and others who may have close contact with symptomatic people with potential COVID-19. This includes professionals and members of voluntary organisations who, as part of their normal roles, provide immediate assistance to a symptomatic person until further medical assistance arrives. Emergency service professionals who have received specific advice from their employer, such as NHS ambulance trust employees, should follow that guidance.
Additional advice for Police officers, Border Force officers and Immigration Enforcement officers is provided at the end of this guidance.",,,,Official,https://www.gov.uk/government/publications/novel-coronavirus-2019-ncov-interim-guidance-for-first-responders/interim-guidance-for-first-responders-and-others-in-close-contact-with-symptomatic-people-with-potential-2019-ncov,,2020-03-24,,2020-03-24,9261
14642,GPHIN02687,GPHIN,2687,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 4 March, CDC revised criteria for evaluation of Persons Under Investigation (PUI) which were expanded to a wider group of symptomatic patients. According to the new criteria, clinicians should use their judgment to determine if a patient has signs and symptoms compatible with COVID-19 and whether the patient should be tested. Decisions on which patients receive testing should be based on the local epidemiology of COVID-19, as well as the clinical course of illness.",,,,Official,https://www.cdc.gov/coronavirus/2019-ncov/index.html,,2020-03-05,,2020-03-05,9261
11467,GPHIN00362,GPHIN,362,WPRO,China,CHN,156,national,,,,PPE,8.2,Other measures,,Scaling up,,,,"China had imported more than 810 million yuan (about 117 million U.S. dollars) worth of medical supplies as of 2 February to ease domestic shortages amid efforts to contain the novel coronavirus (2019-nCoV) outbreak, customs data showed Monday 3 February. From 24 January to 2 February, China imported some 240 million items of medical supplies including 220 million face masks, 2.53 million protective suits and 279,000 pairs of goggles, the General Administration of Customs said.
Customs authorities across the country have provided fast-track clearance at customs for inbound materials that will be used in the prevention and control of the novel coronavirus outbreak.
While expanding global procurement to alleviate domestic shortages, China has also encouraged domestic enterprises to resume the production of medical materials in need.",,,,Official,http://www.ecns.cn/news/2020-02-03/detail-ifztewca0594239.shtml,,2020-02-03,,2020-02-03,9261
18398,GPHIN05308,GPHIN,5308,AMRO,Guyana,GUY,328,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,A nationwide curfew is in effect from 6 p.m. to 6 a.m. until May 3 due to #COVID19. These measures could be reassessed and extended. Follow the instructions of local authorities.,,,,Official,https://travel.gc.ca/destinations/guyana#security,,2020-04-06,,2020-04-06,9261
20121,GPHIN06228,GPHIN,6228,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,CDC on 13 April updated Interim Infection Prevention and Control Recommendations for Patients with Suspected or Confirmed Coronavirus Disease 2019 (COVID-19) in Healthcare Settings.,,,,Official,https://www.cdc.gov/coronavirus/2019-ncov/hcp/infection-control-recommendations.html,,2020-04-17,,2020-04-17,9261
12004,GPHIN00734,GPHIN,734,EURO,United Kingdom Of Great Britain And Northern Ireland,GBR,826,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"The novel coronavirus diagnostic test developed by Public Health England (PHE) is being rolled out to laboratories across the UK starting on Monday 10 February. The increase in diagnostic capacity from one laboratory in London to 12 labs over the coming weeks, will accelerate the country’s testing capabilities.",,,,Official,https://www.gov.uk/government/news/phe-novel-coronavirus-diagnostic-test-rolled-out-across-uk,,2020-02-10,,2020-02-10,9261
14619,GPHIN02671,GPHIN,2671,WPRO,China,CHN,156,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"Chinese researchers are studying the use of stem cell technology in the treatment of people critically ill with the novel coronavirus disease (COVID-19). Four COVID-19 patients who received stem cell treatment while in a serious condition have been discharged from hospital after recovery, and the clinical trial of the therapy will be further expanded. 
According to the Ministry of Science and Technology, the Chinese Academy of Sciences has developed a new stem cell drug, CAStem, which has shown promising results in animal experiments. The research team has applied for urgent assessment by the National Medical Products Administration. Approvals by the ethics committee, and clinical observation and evaluation are in progress.
A research team from the fifth medical center of the Chinese PLA General Hospital is cooperating with hospitals and institutions in Wuhan and north China's Tianjin Municipality to conduct clinical research on the safety and effectiveness of mesenchymal stem cell therapy in treating COVID-19 patients.
A research team at the School of Medicine of the Tongji University is studying on universal lung stem cell therapy that can be widely used in the epidemic control. The therapy is expected to enter the clinical stage in the near future.",,,,Official,http://www.china.org.cn/china/2020-03/05/content_75778324.htm,,2020-03-05,,2020-03-05,9261
16926,GPHIN04506,GPHIN,4506,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"On 27 March, Apple Inc. – in partnership with the White House Coronavirus Task Force and CDC – released an app and website that guides Americans through a series of questions about their health and exposure to determine if they should seek care for COVID-19 symptoms.  The tool provides CDC recommendations on next steps including guidance on social distancing and self-isolating, how to closely monitor symptoms, recommendations on testing, and when to contact a medical provider.",,,,Official,https://www.cdc.gov/media/releases/2020/s0327-statement-covid-19-apple-app.html,,2020-03-30,,2020-03-30,9261
11517,GPHIN00396,GPHIN,396,WPRO,Singapore,SGP,702,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"On 4 February, Singapore's MOH confirmed four 2019-nCoV cases involve human-to-human transmission, which were identified as a result of enhanced surveillance at our hospitals. The MOH stresseds that Singapore has measures implemented towards finding, preventing and containing the risk of spread beyond such local clusters to the broader community. The are urging the public to enhance personal hygiene and environmental cleaning, as current evidence suggests that the likely modes of transmission are mainly through contact with droplets from infected individuals. MOH is taking actions to protect vulnerable groups, including young children and the elderly. Eldercare facilities are asked to suspend external excursions and large scale gatherings. MOH will continue tp expand surveillance efforts to conduct 2019-nCoV testing on all individuals with pneumonia at our hospitals. MOH is consider additional measures to reduce human-to-human interactions, such as cancelling mass gatherings, suspending schools, and paring down non-essential care services, to slow the spread of disease, in case broader community spread happens.",,,,Official,https://www.moh.gov.sg/news-highlights/details/confirmed-cases-of-local-transmission-of-novel-coronavirus-infection-in-singapore,,2020-02-04,,2020-02-04,9261
16569,GPHIN04182,GPHIN,4182,AMRO,Colombia,COL,170,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"In Colombia, HealthNet TPO partner organisation Women's International League for Peace and Freedom (LIMPAL) have suspended their operations until the end of March. HealthNet TPO does not have any  staff in Colombia, but all LIMPAL staff are now working remotely.",,,,Official,https://reliefweb.int/report/afghanistan/statement-healthnet-tpo-corona-virus,,2020-03-24,,2020-03-24,9261
17231,GPHIN04753,GPHIN,4753,WPRO,China,CHN,156,national,,,,RESEARCH ADVANCEMENT,10,Not of interest,Not of interest,Not of interest,,,,"The Chinese National Health Commission on 1 April issued the 2nd trial version of Clinical Disgnosis and Treatment Guidelines for Critical and Severe Cases of Novel Coronavirus Pneumonia. The content includes clinical warning indicators, treatment and critetria for transferring out of intensive care unit (ICU), etc.",,,,Official,http://www.nhc.gov.cn/yzygj/s7652m/202004/1fb0cebfea1349119a330aed0c718140.shtml,,2020-04-01,,2020-04-01,9261
11190,GPHIN00188,GPHIN,188,WPRO,China,CHN,156,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,The National Health Comminssion on 31 January issued Guidelines to help the public to properly use face masks to prevent infections with 2019-nCoV.,,,,Official,http://www.nhc.gov.cn/jkj/s7916/202001/a3a261dabfcf4c3fa365d4eb07ddab34.shtml,,2020-01-31,,2020-01-31,9261
11697,GPHIN00524,GPHIN,524,WPRO,China,CHN,156,national,,,,AIRPORT SCREENING: ENTRY,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,"As a major destination for returning travelers after the Spring Festival, Beijing is now in a critical period of epidemic prevention and control of 2019-nCoV. The city has implemented a series of measures to prevent the spread of the virus. 
The city has introduced a sound system of patient notification, transportation, treatment in isolation, as well as contact tracing and management; 
Custom authorities have ordered temperature detection at all exit-entry points in Beijing. All passengers coming in or out of the city are required to fill in health declaration cards, and medical services are provided to passengers with symptoms.
Motorists in east China's Shandong Province, a source of the labor force for many other provincial regions, are required to undergo temperature detection before entering highways.
Returning travelers are required to register their health conditions with their residential communities and is strengthening medical observations for those coming back from high-risk areas.",,,,Official,http://english.cctv.com/2020/02/02/ARTIcMTBEYmvKeEtHylYq40R200202.shtml?spm=C69523.P89571092934.S85147.2,,2020-02-06,,2020-02-06,9261
12526,GPHIN01167,GPHIN,1167,WPRO,China,CHN,156,national,,,,MASS GATHERING CANCELLATION,4.3.4,Social and physical distancing measures,"Gatherings, businesses and services","Cancelling, restricting or adapting mass gatherings",,,,"China has focused on controlling chains of virus transmission in the fight against the novel coronavirus outbreak, a health official said Sunday 17 February. Prevention and control measures, worked out by a joint mechanism, feature controlling the source of infection, interrupting virus transmission and protecting the public, especially the susceptible population, an official with the National Health Commission (NHC) told a press conference in Beijing. On controlling the source of infection, the NHC has kept updating a prevention and control plan and guided local work in terms of case identification, reporting, epidemiological investigation and close contact management. Community workers have been mobilized to trace personnel returning from hard-hit areas and close contacts and made proper arrangements for them. Illegal activities of hunting, trading and eating wild animals have been harshly cracked down upon and supervision over wildlife trading markets has been intensified to rein in the public health risks at the source.",,,,Official,http://www.china.org.cn/china/2020-02/17/content_75711435.htm,,2020-02-17,,2020-02-17,9261
11867,GPHIN00639,GPHIN,639,WPRO,Japan,JPN,392,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"As revealed by the International Air Transport Association (IATA), passengers who have been in China's Hubei Province in the past 14 days are not allowed to enter Japan. This does not apply to nationals of Japan. Nationals of China with a passport issued in Hubei Province are not allowed to enter Japan.",,,,Official,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-02-07,,2020-02-07,9261
12919,GPHIN01453,GPHIN,1453,WPRO,China,CHN,156,national,,,,PPE,8.2,Other measures,,Scaling up,,,,"All companies in Beijing supplying virus-prevention products have resumed work and production, the Beijing Municipal Bureau of Economy and Information Technology announced on 20 February. The bureau said it is striving to facilitate production resumption to meet the demand for virus-prevention products.
The bureau has actively facilitated communication between governments and organizations in the Beijing-Tianjin-Hebei region, promoting information exchange, providing medical supplies, and assisting in work resumption of enterprises. The bureau has also communicated with its counterparts in Shanghai, Shandong province, Jiangsu province, and other areas to address issues of raw material supply and logistics.",,,,Official,http://www.china.org.cn/china/2020-02/21/content_75730813.htm,,2020-02-21,,2020-02-21,9261
11884,GPHIN00654,GPHIN,654,WPRO,New Zealand,NZL,554,national,,,,QUARANTINE / MONITORING,3.2.2,Surveillance and response measures,Tracing and quarantining contacts,Quarantine,,,,"As revealed by the International Air Transport Association (IATA), Passengers who have transited through or have been in China (People's Rep.) on or after 2 February 2020, will not be allowed to transit or enter New Zealand. While nationals or residents of of New Zealand and their immediate family members are required to self-isolate for a period of 14 days from their arrival into New Zealand.",,,,Official,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-02-07,,2020-02-07,9261
16394,GPHIN04055,GPHIN,4055,AMRO,Canada,CAN,124,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,Coronavirus disease 2019 (COVID-19) and supply of substances of human origin in the EU/EEA. Centre for Disease Prevention and Control (ECDC) has published a set of rapid risk assessments and set out measures on how to maintain the safety and sustainability of SoHO supply. It has also been advocating for EU/EEA Member States to activate pandemic plans to prepare for large outbreaks and community transmission of COVID-19.,,,,Official,https://www.ecdc.europa.eu/en/publications-data/coronavirus-disease-2019-covid-19-and-supply-substances-human-origin-eueea,,2020-03-23,,2020-03-23,9261
17230,GPHIN04753,GPHIN,4753,WPRO,China,CHN,156,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"The Chinese National Health Commission on 1 April issued the 2nd trial version of Clinical Disgnosis and Treatment Guidelines for Critical and Severe Cases of Novel Coronavirus Pneumonia. The content includes clinical warning indicators, treatment and critetria for transferring out of intensive care unit (ICU), etc.",,,,Official,http://www.nhc.gov.cn/yzygj/s7652m/202004/1fb0cebfea1349119a330aed0c718140.shtml,,2020-04-01,,2020-04-01,9261
12540,GPHIN01177,GPHIN,1177,WPRO,China,CHN,156,national,,,,VACCINE/MCM DEPLOYED,7,Biological measures,,,,,,"Favilavir, formerly known as Fapilavir, an antiviral that has shown efficacy in treating the novel coronavirus, was approved for marketing, the Taizhou government in Zhejiang province announced on 17 February. It is the first anti-novel coronavirus drug that has been approved for marketing by the National Medical Products Administration since the outbreak started.",,,,Official,http://www.chinadaily.com.cn/a/202002/17/WS5e49efc2a310128217277fa3.html,,2020-02-18,,2020-02-18,9261
13225,GPHIN01616,GPHIN,1616,AMRO,United States Of America,USA,840,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"CDC on 23 February provided updates on the COVID-19 outbreak. CDC indicated tht at this time, this virus is NOT currently spreading in the community in the United States. 
CDC warns that it’s important to note that current global circumstances suggest it is likely that this virus will cause a pandemic. CDC is operationalizing all of its pandemic preparedness and response plans, working on multiple fronts to meet these goals, including specific measures to prepare communities to respond local transmission of the virus that causes COVID-19. There is an abundance of pandemic guidance developed in anticipation of an influenza pandemic that is being repurposed and adapted for a COVID-19 pandemic.
CDC recommends that all travelers reconsider cruise ship voyages into or within Asia at this time.",,,,Official,https://www.cdc.gov/coronavirus/2019-ncov/summary.html,,2020-02-24,,2020-02-24,9261
14573,GPHIN02634,GPHIN,2634,EMRO,Saudi Arabia,SAU,682,national,,,,LAND SCREENING,5.5,International travel measures,,Entry screening and isolation or quarantine,,,,The Ministry of Interior on 3 March announced additional measures to be taken against the entry of people who have visited countries infected by Coronavirus (COVID-19).  Security agencies will coordinating with their counterparts in other GCC member states to ensure only travellers who pass 14 consecutive days following returning from coronavirus- affected countries are allowed entry into Saudi Arabia.,,,,Official,https://www.bna.bh/en/Saudiannouncesextraborderprecautionarymeasures.aspx?cms=q8FmFJgiscL2fwIzON1+DsSjo2BoWG/I0NPthC8cTAY=,,2020-03-04,,2020-03-04,9261
14357,GPHIN02439,GPHIN,2439,AFRO,Uganda,UGA,800,national,,,,TRAVEL ADVISORY,5.1,International travel measures,,Providing travel advice or warning,,,,"Uganda's Minstry of Healt has advised citizens to delay travel to contries affected by COVID-19. If travels are unavoidable, they are asked to preventive measures issued by the Ministry of Health.",,,,Official,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006433109,,2020-03-03,,2020-03-03,9261
12332,GPHIN01007,GPHIN,1007,WPRO,Australia,AUS,36,national,,,,OTHER,9,Coding required,Coding required,Coding required,,,,"Following the COVID-19 outbreak emerged in Wuhan, NSW Health initiated animmediate, state-wide medical response, with extensive follow-up of close contactsof confirmed cases and a comprehensive screening program at Sydney InternationalAirport.
The NSW Health response to COVID-19 is part of an existing framework formanaging emerging infectious diseases, including pandemic influenza, SARS and MERS in the past, which has been refined over many years.In addition to the immediate public information response and medical effort, NSWHealth launched the broad-scale public information campaign, “Find the Facts”.",,,,Official,https://www.health.nsw.gov.au/news/Pages/20200213_00.aspx,,2020-02-13,,2020-02-13,9261
11881,GPHIN00651,GPHIN,651,WPRO,"Micronesia, Federated States Of",FSM,583,national,,,,TRAVEL BAN,5.7,International travel measures,,Suspending or restricting international flights,,,,"As revealed by the International Air Transport Association (IATA), passengers who have been in China on or after 6 January are not allowed to enter Micronesia.  Passengers who have been in a country ( other than China) with confirmed cases of Novel Coronavirus within the last 14 days are not allowed to enter Micronesia. This does not apply to airline crew.",,,,Official,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,,2020-02-07,,2020-02-07,9261
14472,GPHIN02534,GPHIN,2534,WPRO,China,CHN,156,national,,,,EDUCATION CAMPAIGN,8.4.1,Other measures,Communications and engagement,General public awareness campaigns,,,,"While staying at home seems to be the optimum choice during the outbreak, some trips are just inevitable. State Council has provided the public a series of traveling tips during COVID-19 epidemic",,,,Official,http://www.china.org.cn/china/2020-03/04/content_75773042.htm,,2020-03-04,,2020-03-04,9261
