,M0,M1,M2,M3,M4
treatment,3.108424e-05,5.3191146e-05,0.00013927638,0.0066193095,0.00032780724
symptoms,5.9201087e-05,0.003026951,0.00011642572,0.0065722778,0.0009241296
infection,4.1691103e-05,0.0001768202,0.00043607483,0.006437426,0.0010810549
tested,6.690342e-05,0.0021904109,0.00047387148,0.006360262,0.0001741666
ministry,0.00019661814,0.007191798,0.0011017484,0.0020535225,0.014126822
care,8.170775e-05,7.5008786e-05,0.0001424876,0.0021632838,0.009355588
workers,0.0017204385,0.00020339317,0.0010500537,0.0004938884,0.008778033
canada,6.64703e-05,0.0014375211,0.00015484217,0.00029143266,0.007858097
staff,0.0002676673,0.000527219,0.00024916345,0.00013295806,0.0070652156
pandemic,0.0015401217,6.9566595e-05,0.0049923793,0.0011781252,0.0068833143
services,0.0053361254,6.3354724e-05,0.00027324268,0.00022797498,0.006371564
emergency,0.007106557,7.9949794e-05,0.004720299,0.00064167334,0.0058414596
response,6.609261e-05,7.1131675e-05,0.002307528,0.0017177884,0.005487124
work,0.00264331,0.00011532231,0.0009843264,0.0009123442,0.0053490093
including,0.005015251,0.0029954747,0.0032771819,0.0024105597,0.005049114
equipment,3.5107227e-05,3.9069182e-05,0.0019082456,0.00019537241,0.0050442363
provide,0.00025014626,0.00021134259,0.0009937339,0.00081458973,0.0048975977
