COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,TESTING & CASE DETECTION  ,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN / CANCELLATION,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,RESTRICTING OR LIMITING GATHERINGS,CLOSING PUBLIC PLACES,LOCKDOWN OR CURFEW,EASIND RESTRICTIONS,VACCINE/MCM DEPLOYED,PPE,RESEARCH ADVANCEMENT,COMMENTS,,
Brazil,2/4/2020,Media,,"Brazil has decided to repatriate Brazilians from Wuhan and will declare a national health emergency, the Health Minister said on 3 February. A chartered plane would be sent to pick up 40 of the 55 Brazilians in Wuhan who have asked to be evacuated from the city. The evacuees will be quarantined for 18 days at a military base. The Minister is expected to issue a decree by 4 February to authorize the quarantine steps and speed up the repatriation of Brazilians. Brazilians will be tested before embarking and no one with symptoms would be allowed on the plane.",,,x,x,,x,,,,,,,,,,,,,https://www.reuters.com/article/us-china-health-brazil-idUSKBN1ZX1L0,,
Brazil,2/4/2020,Official,1006243488,"The Ministry of Health declared on 4 February 2020 that has recognized the international health emergency of coronavirus and raised the level of the Brazilian response to The Emergence of Public Health of National Importance (ESPIN), even without any confirmed cases of coronavirus in Brazil. The Federal Government will forward a Bill to the National Congress to speed up the process of repatriation of Brazilians in Wuhan, China, who intend to return to Brazil.",,,,,,,,,,,,,,,,,,,http://www.saude.gov.br/noticias/agencia-saude/46284-governo-do-brasil-propoe-lei-para-repatriar-brasileiros,,
Brazil,2/4/2020,Official,,"The Ministry of Health published on 4 February a technical report that provides epidemiological surveillance guidance, case definition with complementary terminology for the novel coronavirus. Guidelines for notification and register of cases, characterization of initial clinical-epidemiological data forms, description and diagnoses of the disease are provided. An algorithm with steps to be taken for cases that fulfil case definition, preventative measures and control, as well laboratory surveillance and reference are available. ",,,,,,,,,,,,,,,,,,,http://portalarquivos2.saude.gov.br/images/pdf/2020/janeiro/28/Boletim-epidemiologico-SVS-28jan20.pdf,,
Brazil,2/4/2020,Official,1006234444,"In an official statement from the Ministry of Foreign Affairs and the Ministry of Defense on 2 February, the Brazilian Government decided to send a plane to repatriate Brazilians who are in Wuhan, Hubei province. The official note informs that Brazilians who come from Wuhan will be quarantined as soon as they arrive in the country, according to international procedures, under the guidance of the Ministry of Health. The state has found that they will be isolated at a military base, in a place that is still being kept confidential. According to the Ministry of Foreign Affairs, the main alternative is to bring Brazilians in a civilian aircraft, paid by the Brazilian government. The flight plan must be made by the Brazilian Air Force (FAB).",,,x,,,x,,,,,,,,,,,,,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006234444,,
Brazil,2/5/2020,Media,,"Brazil’s lower house of Congress on 4 February approved a bill laying out rules for the quarantine of Brazilian nationals returning from China who may be infected with coronavirus, as well as other measures to combat the disease. The measures will be in force as long as the public health emergency declared by the WHOn is in place.
On 4 February, Brazil obtained authorization from China to fly two planes to Wuhan to evacuate Brazilian citizens who asked to be repatriated. The Defense Minister said two 36-seat Embraer C-190 planes flown by the Brazilian Air Force will leave on 5 February and arrive in Wuhan on 7 February after refueling stops en route. A total of 29 people, including four family members who are Chinese nationals, would be evacuated, as well other Brazilians who live outside Wuhan. The passengers, medical staff and the crew of the planes will be quarantined for 18 days at an Air Force base in Anapolis, 150 kilometers (93 miles) west of the capital Brasilia. ",,,,,,x,,,,x,,,,,,,,,https://nationalpost.com/pmn/health-pmn/brazils-lower-house-of-congress-approves-coronavirus-quarantine-bill,,
Brazil,2/7/2020,Official,1006258477,"The Ministry of Health updated on 6 February that the information provided by the State Health Departments on the situation of suspected cases of the new coronavirus in Brazil. All notifications were evaluated and discussed with specialists from the Ministry of Health, on a case-by-case basis, together with the health authorities of the states and municipalities.",,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46300-novo-coronavirus-9-casos-suspeitos-no-brasil,,
Brazil,2/7/2020,Official,1006266784,"According to the Director of the Department of Immunization and Communicable Diseases, the Brazilian States of the South and Southeast regions have the higher incidence of suspected cases of new coronavirus, due to the influenza activity that already started this season, leading to more cases of respiratory illnesses. The Executive Secretary of the Ministry of Health reported that the cost and quantity of inputs needed to face cases of new coronavirus has been concluded, and it is estimated an investment of R$ 140 million to purchase individual equipment, such as gloves, masks, goggles and disposable protective equipment.",,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46293-brasil-tem-11-casos-suspeitos-do-coronavirus-da-china,,
Brazil,2/7/2020,Official,1006266836,"On 6 February, the Ministry of Health requested states and capitals to contingency plans to to confront the new coronavirus.  Federal, state and municipal managers will discuss prevention protocols and measures in  live event which will be broadcasted on the Ministry of Health's social networks: Facebook, Twitter, Instagram, YouTube, Portal and WebRadio Saúde.",,,,,,,,,,x,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46298-novo-coronavirus-ministerio-da-saude-debate-com-estados-e-capitais-brasileiras-acoes-contra-o-virus,,
Brazil,2/7/2020,Official,1006266720,"Brazil has provided technical training of representatives from nine countries in South and Central America for the laboratory diagnosis of the new coronavirus. The two-day training (February 6-7) was conducted at the request of the Pan American Health Organization (PAHO/WHO). The nine participating countries who attended the training were: Colombia, Uruguay, Argentina, Panama, Bolivia, Chile, Ecuador, Paraguay and Peru.",,,,,,,,,,x,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46311-brasil-capacita-nove-paises-para-diagnostico-do-novo-coronavirus,,
Brazil,2/7/2020,Media,1006260840,"Faced with the global epidemic of the new coronavirus, the Health Minister announced on 6 February, the installation of an emergency surveillance center on Brazil's border with Venezuela.",x,,,,,,,,,,,,,,,,,,"https://www.em.com.br/app/noticia/nacional/2020/02/06/interna_nacional,1119983/coronavirus-saude-anuncia-centro-de-vigilancia-na-fronteira-com-venez.shtml",,
Brazil,2/10/2020,Media,,Brazil has evacuated 34 nationals from Wuhan and they will be taken to an airforce base in the mid-western state of Goiás where they will be quarantined for 18 days.,,,x,,,x,,,,,,,,,,,,,https://www.theguardian.com/world/2020/feb/08/coronavirus-brazil-evacuates-34-nationals-from-wuhan,,
Brazil,2/12/2020,Official,1006267252,"In total, 34 Brazilians, including their relatives, and 12 health professionals of the Brazilian Air Force, two doctors from the Ministry of Health, two journalists and eight crew members will be bring back from China. The evacuees will be placed at the Anápolis Air Base (GO) and undergo periodic examinations. If symptoms are symptoms, care and treatment will be performed at the Armed Forces Hospital in Brasilia (DF). ",,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46314-saude-e-defesa-visitam-local-que-recebera-brasileiros-vindos-da-china,,
Brazil,2/12/2020,Official,1006267252,"The Brazilian President sanctioned Law No. 13,979, which provides on measures to address the public health emergency of international importation of the novel coronavirus. The law imposes rules and provides for actions such as isolation, quarantine and closure of ports, highways and airports for entry and exit from Brazil, in specific cases that jeopardize the health safety of Brazilians. ",x,,x,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46314-saude-e-defesa-visitam-local-que-recebera-brasileiros-vindos-da-china,,
Brazil,2/12/2020,Official,1006285623,The Ministry of Health and the National Health Surveillance Agency (Anvisa) on 8 February published guidelines for the procedure of repatriation as well as quarantine of evacuees from Wuhan.,,,x,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46323-ministerio-da-saude-e-anvisa-publicam-recomendacoes-para-quarentena,,
Brazil,2/12/2020,Media,1006285553,"Brazilian President on 10 February 2020 signed an interim measure (MP) that allocates extraordinary credit of R$ 11,287,803.00 to the Ministry of Defense to combat the COVID-19 outbreak.  ",,,,,,,,,,,,,,,,,,,https://g1.globo.com/politica/noticia/2020/02/10/bolsonaro-assina-mp-e-destina-r-112-mi-para-enfrentar-emergencia-de-saude-publica-provocada-pelo-coronavirus.ghtml,,
Brazil,2/12/2020,Media,,"Brazilian Health Minister and his peers from Argentina, Paraguay, Uruguay, Bolivia and Chile will participate in a special meeting scheduled for 19 February in Asunción, Paraguay, to discuss prevention measures to be adopted in South America due to the spread of novel coronavirus outbreak.",,,,,,,,,,x,,,,,,,,,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006289562,,
Brazil,2/13/2020,Official,,"The Unified Health System is absolutely prepared for the possible confirmation of some case of the new coronavirus in Brazilian territory. We are working with various scenarios and the measures being taken are in accordance with these possible scenarios. At the moment we do not have the circulation of the virus in Brazil and we are working within this panorama, but already predicting the possibility of having confirmed cases in the future.
Asked about the work carried out in conjunction with the Ministry of Defense in the repatriation operation, the Secretary of Health Surveillance of the Ministry of Health reported that all necessary measures are being taken. They are fully aligned with the Ministry of Defense. We discussed every day about the whole dynamics of the quarantine process. They have made contact with the World Health Organization (WHO), they are contacting other countries to consolidate everything that exists of protocol on procedures in relation to the new coronavirus",,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46373-brasil-monitora-11-casos-suspeitos-do-novo-coronavirus,,
Brazil,2/13/2020,Official,,"The Conceição Hospital Group (GHC), in partnership with the Health Department (SES), is disclosing guidance to situations of home isolation of suspected cases of coronavirus infection. The measure, adopted after a medical service evaluation, is recommended for cases where the person does not present severe symptoms and should persist until the improvement of the clinical picture. To date, this was the protocol followed by all eight cases considered suspects reported in Rio Grande do Sul. Of these, only one still remains under investigation.",,,,,,,,,,,,,,,,,,,https://saude.rs.gov.br/ghc-e-secretaria-da-saude-destacam-cuidados-durante-isolamento-domiciliar-de-suspeitos-de-coronavirus,,
Brazil,2/13/2020,Official,,"SES issues updated technical note on the New Coronavirus
The main update point was laboratory flow for classification of cases.
In order to update information for the development of effective actions, the State Secretariat of
Health of Rio de Janeiro elaborated the review of its technical note.",,,,,,,,,,,,,,,,,,,https://www.saude.rj.gov.br/noticias/2020/02/ses-emite-nota-tecnica-atualizada-sobre-o-novo-coronavirus,,
Brazil,2/13/2020,Official,,"Coronavirus The Central Laboratory of the State of Paraná (Lacen) sent on Tuesday (11) to Fiocruz, in Rio de Janeiro, samples of material collected from a suspected case of the Novo Coronavirus of Ponta Grossa.
The case was notified to the Emergency Operations Center (COE) of Paraná and the preliminary tests performed by Lacen did not present results for other respiratory viruses.
The notification is of a 7-year-old boy who was in southern China, Taishan, who returned to Brazil on January 30 with family members. On February 6, the boy underwent medical evaluation and diagnosed with mild symptoms of respiratory syndrome; cough and fever. The family has no symptoms and everyone is being accompanied at home by the Municipal and State Surveillance.
All measures indicated by the Ministry of Health were adopted and the case continues to be monitored by the Health Department of Paraná, through the COE and the 3rd Regional Health of Ponta Grossa, and the Municipal Health Department of Ponta Grossa.",,,,,,,,,,,,,,,,,,,http://www.saude.pr.gov.br/modules/noticias/article.php?storyid=7100&tit=Parana-segue-monitoramento-de-caso-suspeito-do-Novo-Coronavirus,,
Brazil,2/13/2020,Official,,"All 58 persons repatriated in the Brazilian mission, including persons who were in Wuhan and the support team, were tested for COVID-19 infection. The Ministry of Health reported 11 February 2020, that the tests carried out by the Central Laboratory of the State of Goiás (LACEN) in the 58 persons involved in Operation Return were negative. The 34 returnees and the 24 professionals, divided between crew, Ministry of Health and communication, were submitted to tests, even without symptoms and without infection. The action is part of the protocol defined between the Ministries of Health and Defense. According to the Director of the Department of Immunization and Communicable Diseases at the Ministry of Health, all preventive measures are being taken, following international protocols.",,,,,,,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46364-exames-negativos-para-novo-coronavirus,,
Brazil,2/13/2020,Official,,"As of 12 February 2020, 11 suspected cases are being monitored by the Ministry of Health. The suspected cases are reported in Minas Gerais (1), Paraná (1), Rio de Janeiro (2), Rio Grande do Sul (1) and São Paulo (6). The Executive Secretary of the Ministry of Health stressed that the Unified Health System (SUS) is ready to fight the new coronavirus. The Ministry of Health and health authorities are working with various scenarios and the measures are being taken are in accordance with these potential scenarios. The Secretary of Health Surveillance of the Ministry of Health reported that all necessary measures are being taken regarding the repatriation and that the Ministry of Health is fully aligned with the Ministry of Defense, discussing every day about the whole dynamics of the quarantine process. Health authorities have contacted WHO and other countries to consolidate al information available in the procedures protocol for the new coronavirus. Countries that have already experience with quarantine measures have been consulted. ",,,,,,,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46373-brasil-monitora-11-casos-suspeitos-do-novo-coronavirus,,
Brazil,2/21/2020,Media,1006347593,"The National Health Surveillance Agency (Anvisa) on 19 February carried out inspection inside the Hong Kong-flagged Vessel Kota Pemimpin docked in the Port of Santos. They released all 25 crew members, including those who had a fever during the trip, after the possibility of COVID-19 was reuled out. The ship received the Certificate of Free Practice (CLP) to operate in Porto. ",x,,,,,x,,,,,,,,,,,,,"https://g1.globo.com/sp/santos-regiao/porto-mar/noticia/2020/02/19/anvisa-faz-inspecao-e-descarta-novo-coronavirus-em-tripulacao-de-navio-chines-atracado-no-porto-de-santos.ghtml

",,
Brazil,2/21/2020,Official,1006348472,The Brazilian Ministry of Health is performing novel coronavirus tests on the 34 Brazilians  repatriated from Wuhan and 24 professionals who participated in the operation. All of them are placed in 14 days quarantine and none of them have shown symptoms so far.  Two of the three tests to be carried out have coeme back negative. ,,,,,,,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46407-brasil-monitora-2-casos-suspeitos-do-novo-coronavirus,,
Brazil,2/21/2020,Official,,"The III Extraordinary Meeting of Mercosur Health Ministers held in Asunción, Paraguay on 19 February was attended by the authorities of Paraguay, Argentina, Uruguay, as well as Brazil's Health Minister. After discussions on data and strategies to combat infectious diseases, health ministers signed a draft intentions for information and technology sharing: ""Declaration of Mercosur Health Ministers in the face of the situation epidemiological of Dengue, Measles and Coronavirus (COVID - 2019)"". ",,,,,,,,,,x,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46412-brasil-apresenta-acoes-para-enfrentamento-do-novo-coronavirus,,
Brazil,2/21/2020,Official,1006361096,"The Brazilian Government on 21 February changed the definition of a suspicious case for the new coronavirus. People who haveflu-like symptom and come from Japan, Singapore, South Korea, North Korea, Thailand, Vietnam and Cambodia, as well as China, are framed within this definition.  ",,,x,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46430-brasil-amplia-lista-de-paises-em-alerta-para-a-doenca,,
Brazil,2/25/2020,Media,1006384652,"Brazil has remained vigilant, even without confirmation of cases of infection in the country by the new coronavirus (Covid-19). Among the surveillance actions of the Ministry of Health and the National Health Surveillance Agency (Anvisa), are the guidelines for cruise ships, which dock on the Brazilian coast, especially during the Carnival period. The Ministry urges the public to maintain basic hygiene care in this carnival and throughout the year. 
And now the attention should be increased not only for ships coming from China, but also to seven other countries including Japan, South Korea, North Korea, Singapore, Vietnam, Thailand and Cambodia. 
In the case of sea cruises, some procedures should be adopted to protect the health of passengers and crew, ground personnel and the general public in ports. All professionals in Brazil are prepared to deal with the evaluation of cases, whether in the area of entry or in health units. The Ministry of Health and Anvisa advise that, in any situation, workers from ports, airports and borders should always adopt preventive measures. The authorities routinely monitor the scale of cruise ships that circulate off the Brazilian coast. If necessary, the Ministry of Health will define the additional health measures to be implemented, according to evaluation.",,,,,,x,,,,,,,,,,,,,"https://www.saude.gov.br/noticias/agencia-saude/46426-coronavirus-pode-chegar-pelo-mar-ministerio-da-saude-vai-vigiar
https://www.saude.gov.br/noticias/agencia-saude/46426-coronavirus-pode-chegar-pelo-mar-ministerio-da-saude-vai-vigiar
",,
Brazil,2/25/2020,Media,1006384651,"The Ministry of Health expanded, on 24 February 2020, the criteria for defining a suspicious case for the new coronavirus. According to official, health authorities are increasing the detection capacity of laboratories, making public and private health systems more sensitive. Although there is alert for Brazilians in transit to these locations, there is no recommendation to avoid travel, as in the case of China, which is quarantined. Brazil will not have travel restriction measures. As of 24 February 20202, the Ministry of Health monitors four suspected cases of infection by the new coronavirus, in the state of São Paulo (3) and in Rio de Janeiro (1). Brazil remains without cases of the new coronavirus. ",,,,,,x,x,x,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46432-brasil-inclui-mais-8-paises-em-alerta-para-o-novo-coronavirus,,
Brazil,2/25/2020,Media,1006361017,"The Secretary of Health Surveillance indicated that Brazilian health authorities are prepared to identify a case of the new coronavirus, as it has increased the laboratory capacity to rule out suspicious cases and that professionals are increasingly attentive to the clinical picture of the disease. The Ministry of Health points out that even with the reduction of suspected cases for the new coronavirus, surveillance remains active in all states, which notify the Ministry of Health, with any change in the local scenario. ",,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46418-brasil-monitora-um-caso-suspeito-do-novo-coronavirus,,
Brazil,2/25/2020,Media,1006378797,"With the emergence of the new coronavirus, the National Health Surveillance Agency (Anvisa) and the Ministry of Health have updated the donation criteria in blood banks as a preventive action throughout the country. People who have been in regions with confirmed cases of coronavirus will not be able to donate blood for a period of 30 days from the return of areas affected by the epidemic. The deadline will also be applied to those who had contact with infected or suspected disease. Those patients who had the disease will only be able to donate blood 90 days after complete recovery. The rule does not apply to donors who have had common cold or respiratory tract infections eventually caused by coronaviruses, with no travel history to epidemic regions or without contact with people from these places. Authorities also report that there is no evidence of blood transfusion coronavirus transmission.",,,,,,,,,,x,,,,,,,,,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006378797,,
Brazil,2/26/2020,Media,1006387537,"The Ministry of Health is investigates a possible case of Coronavirus disease in the municipality of São Paulo. The 61-year-old man has a travel history to Lombardy, Italy.  The Brazilian authorities are carrying out the identification of contacts at home, hospital and flight. The Ministry recommends caution about any information other than official information, since the investigation is not completed. ",,,,,,x,,,,,,,,,,,,,http://outbreaknewstoday.com/brazil-health-officials-investigate-possible-case-of-coronavirus-in-sao-paulo-22010/,,
Brazil,2/26/2020,Media,,"Brazil's government has confirmed that a 61-year-old Brazilian man who travelled to Italy this month has Latin America's first case of the coronavirus. Brazil's national health agency Anvisa has been working to map all contact the man had with other people in the hospital, at home and on the plane returning to Brazil.  Some 20 people with suspected cases of the coronavirus are being tracked/
Brazil's health minister has indicated that Coronavirus case in Brazil allows experts to see how disease behaves in tropical climate. ",,,,,,x,,,,,,,,,,,,,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-news-latest-italy-uk-china-tenerife-death-toll/,,
Brazil,2/28/2020,Official,1006408148,The Ministry of Health will anticipate the National Influenza Vaccination Campaign as a strategy to reduce the number of people with flu this winter. The campaign is scheduled to start on 23 March in stead of mid-April. The 75 million doses will start to be available from March. The measure is a wayto help health professionals to discard influenza in the screening of cases for novel coronavirus. ,,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46449-campanha-de-vacinacao-contra-a-gripe-sera-antecipada,,
Brazil,2/28/2020,Official,1006408148,"As of 27 February, Brazil had been monitoring 132 suspected cases of coronavirus in 16 states. Now the criteria for defining a suspected case includes people who have  flu-like symptom and have had travelled to China, Germany, Australia, United Arab Emirates, Philippines, France, Iran, Italy , Malaysia, Japan, Singapore, South Korea, North Korea, Thailand, Vietnam and Cambodia in the past 14 days.",,,,,,x,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46449-campanha-de-vacinacao-contra-a-gripe-sera-antecipada,,
Brazil,2/28/2020,Official,1006408312,Health authories of São Paulo State on 28 February presented the Hospital’s action plan against COVID-19 pandemics. The plan aims to ensure medical infrastructure and logistics resources are efficient in case there are significant increase in COVID-19 cases. The health model will be promoted to be used throughout the Brazil's health system. ,,,,,,x,,,,,,,,,,,,,http://www.saopaulo.sp.gov.br/spnoticias/governo-de-sp-anuncia-campanha-de-prevencao-ao-novo-coronavirus/,,
Brazil,3/3/2020,Media,1006435111,"On 3 March, the Brazilian minister of Science, Technology, Innovation and Communication, announced that the Federal Government is planning to invest BRL 10mn (EUR 2.26mn USD 2.61mn) into research for the sequencing of the coronavirus. ",,,,,,,,,,,,,,,,,,,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006435111,,
Brazil,3/3/2020,Media,1006434995,"A team of Brazilian researchers sequenced the corovirus genome and the new analysis shows that the pathogen in the second travel-associated case confirmed in the country is slightly different from the first case. They found that the first case resembled most the viruses that had been sequenced in Germany, while the second case is closer to those sequenced in England. Both of them are different from Chinese sequences. In both cases,the patients were infected in Italy, but as Italian scientists have not yet presented the sequencing of the viruses that are circulating in the country, the comparison could not be made with the material there. 
The researcher at the Institute of Tropical Medicine of the University of Sao Paulo SP, these variations confirm that internal transmission between European countries is already well established.",,,,,,,,,,,,,,,,,,x,https://jornaldebrasilia.com.br/brasil/genoma-do-2o-caso-de-coronavirus-do-brasil-e-diferente-do-1o-apontam-cientistas/,,
Brazil,3/4/2020,Media,1006445367,"Until Tuesday 3 March, Brazil has 488 suspected COVID-19 cases. The Ministry of Health has increased the number of countries that are monitored by the folder to 27 because they present local transmission of the coronavirus. Thus, people who have been in these countries in the last 14 days and have fever and another flu symptom, such as cough or shortness of breath, will be framed as suspected cases of coronavirus.",,,,,,x,x,,,,x,,,,,,,,"
https://www.saude.gov.br/noticias/agencia-saude/46482-27-paises-sao-monitorados-pelo-ministerio-da-saude",,
Brazil,3/6/2020,Official,1006460519,"As of 6 March, Brazil has 13 confirmed cases of coronavirus, 480 cases have been discarded and 768 suspected cases are being monitored by the Ministry of Health.
Currently, 36 countries, in addition to China, are being monitored by the Ministry of Health for having active transmission of coronavirus. Travelers arriving from those countries who display flu-like symptoms within 14 days after arrival will be considered as suspected cases based on the criteria established by the Ministry of Health.  ",,,,,,,,,,,,,,,,,,,https://www.saude.gov.br/noticias/agencia-saude/46501-coronavirus-com-13-casos-confirmados-brasil-monitora-768-suspeitos-2,,
