COUNTRY /ORGANIZATION,DATE ADDED,SOURCE,GPHIN ID,SUMMARY,LAND SCREENING,BORDER CLOSING,AIRPORT SCREENING: ENTRY,AIRPORT SCREENING: EXIT,QUARANTINE / MONITORING,TRAVEL ADVISORY,TRAVEL BAN,TRADE BANS,EDUCATION CAMPAIGN,MASS GATHERING CANCELLATION,REPATRIATION,VACCINE/MCM DEPLOYED,RESEARCH ADVANCEMENT,COMMENTS
Africa,2/21/2020,Media,1006358976,"A report pubshed on 20 February in The Lancet, titled ""Preparedness and vulnerability of African countries against importations of COVID-19: a modelling study"", found thatgo deart countries with the highest importation risk (ie, Egypt, Algeria, and South Africa) have moderate to high capacity to respond to outbreaks; while countries at moderate risk (ie, Nigeria, Ethiopia, Sudan, Angola, Tanzania, Ghana, and Kenya) have variable capacity and high vulnerability. They also identified three clusters of countries that share the same exposure to the risk originating from the provinces of Guangdong, Fujian, and the city of Beijing, respectively.
The researchers stress that capacity building should be urgently prioritised in countries with moderate risk that might be ill-prepared to detect imported cases and to limit onward transmission.",,,,,x,,,,,,,,x,https://www.sciencedirect.com/science/article/pii/S0140673620304116?via%3Dihub
Africa,3/2/2020,Media,,"Public health experts have consistently warned that the novel coronavirus outbreak presents a unique public health threat to the African continent.  WHO says that only eight countries are ready to deal with the outbreak. Up until recently, most have lacked any diagnostic capability and few countries on the continent have sufficient health systems to deal with severe cases on a large scale. ",,,,,x,,,,,,,,,https://edition.cnn.com/2020/03/02/health/cdc-africa-severe-risk-coronavirus-intl/index.html
Africa,3/5/2020,Media,1006453520,"Three major conferences in annual conferences in Africa have been cancelled with organizers citing the ongoing coronavirus outbreak that has only recently arrived in sub-Saharan Africa.
The three are as follows:
The high-level ministerial conference organised by the United Nations Economic Commission for Africa, (UN-ECA). It was scheduled to be held between 18 to 24 March in the Ethiopian capital Addis Ababa.
The Next Einstein Forum schedules to take place next week in Kenya’s capital Nairobi has also been postponed to a later date. The forum, typically attended by more than 2,000 people from more than 79 countries was scheduled for 9 to 13 March.
The two-day Africa CEO forum which was scheduled to be held early next week (9 to 10 March) in Abidjan, Ivory Coast, has also been postponed to a later date.",,,,,x,,,,,x,,,,http://www.africanews.com/2020/03/05/coronavirus-south-africa-confirms-first-case/
Airlines,29/01/2020,Media,1006201736,"Airlines including United Airlines, British Airways and Air Canada said they were cancelling some flights to China as demand fell sharply and global companies told their employees not to travel on deepening fears over the spread of a flu-like virus. Air India and South Korean budget carrier Seoul Air are also halting all flights to the country, and Indonesia’s Lion Air plans to do the same. Other carriers including Finnair, Hong Kong-based Cathay Pacific, Air India and Singapore-based Jetstar Asia are slashing service. Taiwan’s Eva Airways also said some flights to China may be cancelled. In addition, the airline also has stopped providing towels, magazines, table clothes, and is limiting blankets and pillows for passengers in flight.  Hong Kong’s Cathay Pacific Airways said it would be progressively reducing capacity to and from mainland China by 50 per cent or more from January 30 to the end of March.",,,,,,,x,,,,,,,https://www.independent.co.uk/news/health/coronavirus-uk-wuhan-china-quarantine-outbreak-travel-evacuation-a9307606.html
Airlines,29/01/2020,media,1006204366,"United Airlines announced on Tuesday 28 January that it is suspending 24 flights between US hub cities and Beijing, Hong Kong and Shanghai beginning 1 Feb  through  8 Feb amid coronavirus travel warnings. The affected US hubs include San Francisco International, Newark Liberty International, Chicago O'Hare International and Washington Dulles International.",x,,x,x,,x,x,,,x,,,,http://www.china.org.cn/world/2020-01/29/content_75656084.htm
Airlines,29/01/2020,Media,1006204181,"Delta and American on Wednesday 29 January announced they would reduce their China service next month as the coronavirus spreads, driving down demand for flights to the country.  Delta said it would halve its flights to China to 21 a week starting 6 February through 30 April. The Atlanta-based airline serves Beijing from Detroit and Seattle and offers flights to Shanghai from Atlanta, Detroit, Los Angeles and Seattle.
American Airlines announced earlier on Wednesday 29 January that will cancel its flights from Los Angeles to Shanghai and to Beijing from 9 February through 27 March. American will continue to operate its China service from Dallas-Fort Worth and from Los Angeles to Hong Kong in that period.
",,,,,,,,,,,,,,https://www.cnbc.com/2020/01/29/coronavirus-american-airlines-reduces-china-service-as-outbreak-grows.html
Airlines,30/01/2020,Media,1006210359,"On 29 January 2020, Air France decided to suspend all flights to Wuhan. In its press release, Air France also indicated the reduction in its flights to Shanghai and Beijing, from January 31, 2020. According to the company, the reason for this decision is the drop in demand on these destinations. ",,,,,,,x,,,,,,,https://www.linfo.re/monde/asie/coronavirus-suspension-des-vols-d-air-france-vers-wuhan
Airlines,30/01/2020,Media,,"Air France on 30 January announced that it will suspend all flights to mainland China until 9 February. Air France’s statement noted that from 30 January, it would also provide special flights to and from Shanghai and Beijing using volunteer crew to ensure the safe return of customers and airline employees already in China.",,,,,,,,,,,,,,
Airlines,1/31/2020,Media,,"Scandinavian Airlines (SAS) has announced that it will halt all service to Beijing and Shanghai from 31 January to 9 February in wake of the Wuhan virus outbrea. Refunds and rebooking possibilities are being offered to affected passengers. It will also freeze ticket sales until Feb 29 The airline will continue to service Hong Kong, although the situation there is being monitored closely.  Scandinavian Airlines is the flag carrier of Denmark, Norway and Sweden.",,,,,,,,,,,,,,"http://cphpost.dk/news/sas-halts-flights-to-china-in-wake-of-wuhan-virus.html
https://www.straitstimes.com/world/europe/wuhan-virus-british-airways-escalates-response-with-one-month-china-ban"
Airlines,1/31/2020,Media,,"On 30 January, British Airways (BA) escalated response by ceasing services linking London with Beijing and Shanghai up to and including 29 February.  BA's Spanish sister company, Iberia, also part of the IAG SA group, has likewise suspended flights to Shanghai through February.  As for ANA , flights to Japan from China have been halved. 
However, Gulf operators Emirates, Etihad Airways and Qatar Airways provide vital links to China via their vast transfer hubs, with 160 flights a week there, including Hong Kong, and have so far kept their schedules intact.

",,,,,,,,,,,,,,https://www.straitstimes.com/world/europe/wuhan-virus-british-airways-escalates-response-with-one-month-china-ban
Airlines,1/31/2020,Media,1006216433,"Turkish Airlines have suspended flights to Wuhan and other parts of China.
",,,,,,,x,,,,,,,
Airlines,1/31/2020,Media,,"Kenya Airways and RwandAir on 31 January said that they had suspended all flights to and from China until further notice. Air Tanzania, which was poised to start maiden flights from Dar es Salaam to China in February, said on 29 January it had postponed the plan, citing concerns over the spread of the 2019-nCoV. ",,,,,,,x,,,,,,,https://www.reuters.com/article/us-kenya-kenya-airways-coronavirus/kenya-airways-suspends-all-flights-to-china-amid-coronavirus-outbreak-idUSKBN1ZU0J2
Airlines,1/31/2020,Media,1006211704,"Morocco's Air Maroc on 30 January temporarily suspended flights between Casablanca and Beijing until the end of February. However, Ethiopia Airlines, tweeted it will keep operating its flights to five Chinese destinations while adhering to international standards to ensure the safety of their passengers.",,,,,,,x,,,,,,,https://www.cnn.com/2020/01/31/africa/kenyan-airways-flight-coronavirus/index.html
Airlines,1/31/2020,Media,1006215836,"Egypt’s national airline EgyptAir on 30 January announced suspending flights between Egypt and China, after the last Chinese delegation currently in Egypt departs on February 4th. Flights between Egypt and Hangzhou in eastern China will be suspended starting February 1st, while those to Beijing, the capital, and Guangzhou, northwest of Hong Kong will be suspended starting February 4th until further notice.
",,,,,,,x,,,,,,,https://www.egypttoday.com/Article/1/81138/Sisi-directs-gov’t-to-take-measures-for-return-of-Egyptians
Airlines,1/31/2020,Media,1006217370,"AirAsia said a ban on flights from Kota Kinabalu in Malaysia, Bangkok and Phuket in Thailand to Wuhan, China has been extended until the end of February. Air Austral is suspending flights between La Reunion and Guangzhou from February 8 to March 1. Air France suspended its three weekly flights to Wuhan on January 24. It said on 30 January it had halted regular flights to Beijing and Shanghai until February 9, although it added it would fly special flights with volunteer crews to evacuate employees and clients. Air India announced 29 January that it was suspending service on its Mumbai-New Delhi-Shanghai route effective January 31, and through February 14. It also said it would reduce the number of flights from Delhi to Hong Kong for the next two weeks. The Myanmar-based airline Air KBZ said it will halt flights to the southern Chinese city of Guangzhou from February 1. Air Madagascar on 30 January said it was suspending its once-weekly flight between Antananarivo and Guangzhou during February, its only direct connection with China. American Airlines said it will suspend flights from Los Angeles to Beijing and Shanghai from February 9 through March 27, but Flights from Dallas/Fort Worth to Beijing and Shanghai have been maintained. British Airways said it had suspended all flights to and from mainland China. The airline flies daily from London’s Heathrow airport to Shanghai and Beijing.  The Hong Kong-based carrier Cathay Pacific on 30 January said it would progressively reduce capacity by 50 percent or more on its routes to mainland China from Thursday through to the end of March. The reduction concerns both Cathay Pacific and its Cathay Dragon subsidiary. Delta Air Lines said it was temporarily halving the number of weekly flights connecting the US and China due to “significantly reduced customer demand” — from 42 to about 21 per week. The new schedule will be in effect from February 6 through April 30. The Israeli airline EL AL said Thursday it was suspending its flights to Beijing until March 25. Flights to other Chinese destinations are continuing. Finnair, which offers many connections between Europe and Asia, said it would suspend some flights beginning February 5 through most of March after group travel from China was halted. India’s largest airline IndiGo announced it would suspend flights between Delhi and Chengdu (China) from February 1 until February 20. IndiGo also said they would suspend Bangalore-Hong Kong flights from February 1.",,,,,,,x,,,,,,,https://www.rawstory.com/2020/01/airlines-curb-or-cancel-china-flights-amid-deadly-coronavirus-outbreak/
Airlines,1/31/2020,Media,,"Iberia announced the suspension of its flight to Shanghai, the only flight they have to China, from 31 January. The Netherland's KLM says it is suspending all flights to China by the end of the weekend. Indonesia’s Lion Air Group, Southeast Asia’s biggest carrier by fleet size, on 29 January said it would halt all flights to and from China. The suspension, which affects routes to 15 different Chinese cities, takes effect from February 1 until further notice. German flag carrier Lufthansa is cancelling flights to mainland China until February 9. Myanmar Airways International (MAI) has announced a suspension effective from Friday for charter flights to 10 Chinese cities and was allowing passengers booked on its regular service to Guangzhou to change their travel plans without charge. Myanmar National Airlines (NMA) has said it will halt flights to Hong Kong and Chengdu from 1 February.  The Moroccan national airline Royal Air Maroc announced it would suspend from Friday its flights from Casablanca to Beijing as demand plummeted. The link is to resume on February 29. Scandinavian Airlines has announced it is halting direct flights to Beijing and Shanghai from Friday until February 9. Service to Hong Kong is being continued although passengers are being offered opportunities to cancel or rebook. Singapore Airlines announced that it and subsidiary SilkAir will cancel some flights on selected routes to several major Chinese cities “due to the growing scale of the novel coronavirus outbreak.” The low-cost Ukrainian airline SkyUp Airlines said it will halt charter services to China’s resort island of Hainan until March 28. Turkish Airlines said it has suspended flights to four Chinese destinations – Beijing, Guangzhou, Shanghai and Xian – until February 9. Ukraine International Airlines (UIA) said it would halt services to Hainan until February 24.  Having earlier announced reductions in the number of flights to Beijing, Hong Kong and Shanghai between February 1 through February 8, on 30 January United Airlines announced from February 9 though March 28 it will reduce the number of daily flights from 12 to 4. Russia’s Urals Airlines, which had already suspended flights to several destinations in China, said Wednesday it was cutting some services to Europe popular with Chinese tourists, including Paris and Rome, because of the outbreak.

",,,,,,,,,,,,,,https://www.rawstory.com/2020/01/airlines-curb-or-cancel-china-flights-amid-deadly-coronavirus-outbreak/
Airlines,1/31/2020,Media,,Singapore's airline Scoot on 31 January said that it will  it will suspend flights to 11 cities in mainland China from early February until the end of March and that it will reduce frequencies to eight other Chinese destinations. Scoot had also said customers should expect ad-hoc cancellations of Singapore-Hong Kong and Singapore-Macau flights from 1 February to 28 March.,,,,,,,x,,,,,,,https://www.channelnewsasia.com/news/singapore/wuhan-virus-scoot-suspend-flights-singapore-mainland-china-12375194
Airlines,1/31/2020,Media,,"While multiple airlines have temporarily suspended all flights to China due to the coronavirus outbreak, those that are still flying to the country are adopting a series of measures to prevent the spread of the deadly disease by reducing the contact between their crew members and travelers. Measures include stopping offer hot towels, pillows, blankets and magazines to passengers; suspending trolley services and in-flight sales; providing hot hand-held snacks served in a disposable bag as opposed to the usual hot tray meals; providing multi-course meals served in one tray for passengers in business and first class, Instead of getting each dish served individually; limiting nflight entertainment to newspapers and reading materials inside the seat pocket.  
Cabin crew of Thai Airways, THAI Smile and Japan's All Nippon Airways will wear masks and gloves on flights especially when flying to high-risk areas.   
Other measures to prevent the spread of the coronavirus include screening passengers for symptoms both on the ground and during flights. ",,,,x,,,,,,,,,,https://www.cnn.com/travel/article/wuhan-coronavirus-airlines-measures/index.html
Airlines,1/31/2020,Media,1006218935,"On 31 January,  Kigali (Rwanda) Rwanda's main carrier and RwandAir announced the temporary suspension of its weekly flights to China amid the growing coronavirus outbreak and a sharp drop in demand for travel to the Asian country.RwandAir, which operates three weekly flight to Guangzhou via Mumbai said it has temporarily suspended all flights to China until further notice. This follows the declaration of a public health emergency of international concern, the airline said in a statement.

",,,,,,,x,,,,,,,
Airlines,1/31/2020,Media,1006219408,"On 31 January, all three major U.S. airlines announced the cancellation of flights to mainland China as the U.S. government unveiled additional steps to curb the spread of the coronavirus. United and Delta's last flights out of mainland China will be 5 February, with cancellations running through 28 March and 30 April respectively.",,,,,,,x,,,,,,,
Airlines,2/3/2020,Media,,Saudi Arabian Airlines on 2 February announced the suspension of flights between two Saudi cities and the Chinese city of Guangzhou starting Sunday evening (2 February) and until further notice due to the coronavirus outbreak. Saudi Arabia had been monitoring all passengers who arrive on flights from China for coronavirus before the announcement of the suspension of flights.,,,x,,,,x,,,,,,,http://english.alarabiya.net/en/News/gulf/2020/02/02/Saudi-Arabian-Airlines-suspends-flights-to-China-s-Guangzhou.html
Airlines,2/3/2020,Media,,"Three Philippine airlines on 1st February cancelled flights to China, after health officials confirmed the Philippines' first case of coronavirus. Carriers Philippine Airlines, Cebu Pacific and the local unit of AirAsia Group said they were cancelling flights starting this month. The country's largest budget carrier, which flies to Beijing, Shanghai, Xiamen, Guangzhou, Shenzen, said it also reduced trips to Hong Kong and Macau. Philippine Airlines said it would cut the number of flights between Manila and Greater China by over 50 per cent. Cebu Pacific will be cancelling all flights between the Philippines and mainland China from Feb 2 to March 29.  Philippines AirAsia were suspended until March 1.",,,,,,,x,,,,,,,https://www.straitstimes.com/asia/se-asia/wuhan-virus-philippine-carriers-cancel-flights-to-china-over-coronavirus
Airlines,2/3/2020,Media,,China Eastern Airlines on 2 February informed government officials about its decision to suspend flights to Hawaii starting 3 February in response to the novel coronavirus. It is the only airline providing direct flights between China and Hawaii. ,,,,,,,x,,,,,,,https://www.staradvertiser.com/2020/02/02/breaking-news/china-eastern-airlines-suspends-flights-to-hawaii/
Airlines,2/4/2020,Media,,"Two Japanese airlines -- All Nippon Airways and Japan Airlines -- have announced a reduction or suspension of flights to mainland China due to the coronavirus outbreak. 
All Nippon Airways will suspend flights between Narita and Beijing from February 10 to March 29, and flights from Haneda to Beijing will be halved. The suspension of flights between Narita and Wuhan will be extended until March 28. Japan Airlines also announced that flights between three Japanese cities (Tokyo, Nagoya, Osaka) and four Chinese cities (Beijing, Shanghai, Guangzhou, Tianjin) will be reduced from 196 flights weekly to 86 services due to decreased demand from February 17 through March 28.  ",,,,,,,x,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-04-20/index.html
Airlines,2/4/2020,Media,,"China Eastern has become the first major Chinese carrier to suspend flights to and from the United States because of the escalating novel coronavirus outbreak. 
China Eastern is canceling flights from Shanghai (PVG) to Los Angeles and New York (JFK) from February 2 through February 10, according to a notice circulated to travel agents and seen by CNN Business. Flights to the major US hubs were unavailable to book on China Eastern's website until March 29. China Eastern is also canceling flights from Shanghai (PVG) to San Francisco on February 6 and February 9, to Chicago on February 8 and to Honolulu from February 3 until March 27. Several flights to Los Angeles, San Francisco and Vancouver, Canada, that originate in Chengdu or Kunming with layovers in Nanjing or Qingdao have also been canceled this week.",,,,,,,x,,,,,,,https://www.cnn.com/2020/02/03/business/china-eastern-coronavirus/index.html
Airlines,2/4/2020,Media,1006234883,"On 2 February, Aeromexico banned people who passed through Chinese territory 14 days before their trip to the United States, to board  their flights. The company indicated that any passenger who enter the United States without reporting that have been in China 14 days before their trip will be granted measures for deportation or be quarantined depending on their medical condition and level of exposure to the virus. 
The measure applies on all flights to the United States and for passengers of any nationality, except for U.S. citizens with U.S. passports and legal permanent residents. Those with exception will only be able to enter that country through the seven airports where the airline operates and which are authorized as access points: John F. Kennedy, Chicago O'Hare, San Francisco, Seattle Tacoma, Los Angeles, Detroit and Dallas.",,,x,,x,,x,,,,,,,
Airlines,2/5/2020,Media,,"Due to the ongoing developments in China in relation to the 2019-nCoV, the Scandinavian airline (SAS) on 4 February extended it cancelled flights connections to Beijing and Shanghai until the end of the month. Refunds and rebooking possibilities are offered for affected passengers and Hong Kong will be serviced as scheduled. SAS will also close sales for all flights to Beijing and Shanghai up until March 15.",,,,,,,x,,,,,,,http://cphpost.dk/news/sas-extends-china-ban-as-wuhan-virus-continues-to-spread.html
Airlines,2/5/2020,Media,,"Hong Kong's flagship airline Cathay Pacific has asked staff to take three weeks of unpaid leave to help it cope with the impact of the coronavirus. It has offered a voluntary special leave scheme to all employees from 1 March to 30 June. On 4 February, Cathay said it intended to cut services by about 30% over the next two months, including a cut of about 90% in flights to mainland China.",,,,,,,,,,,,,,https://www.bbc.com/news/business-51383284
Airlines,2/6/2020,Media,,"Dutch airline KLM has temporarily suspended all flights to mainland China as a result of the coronavirus outbreak. The airline plans to resume flights to Beijing and Shanghai on March 16 on alternate days, with a connection from Amsterdam to mainland China. KLM’s daily flights to Beijing and Shanghai are to resume March 29, but services to Chengdu, Hangzhou and Xiamen will remain suspended up to and including 28 March.
Air France has also extended its suspension to Shanghai and Beijing -- which started at the end of January -- until March 15. The comapny plans to alternate one daily flight to both cities with KLM “depending on the evolution of the situation.” It plans to resume a normal flight schedule, including to and from Wuhan, from March 29.",,,,,,,x,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-06-20-intl-hnk/index.html
Airlines,2/6/2020,Media,,"As of 6 February, at least 25 airlines have suspended or reduced flights to and from China, and at least nine countries are denying entry to travelers from China.",,,,,,,x,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-06-20-intl-hnk/index.html
Airlines,2/6/2020,Media,,"American Airlines Group and United Airlines said they are suspending all flights to and from Hong Kong, which reported its first coronavirus death on 4 February. The announcements mean no United States carriers will be flying passenger flights to Hong Kong after this week. However, US government restrictions on flights and people who have visited mainland China that took effect on 2 February have not affected Hong Kong.
Aviation data firm OAG said there would be more than 25,000 fewer flights operated to, from and within China this week compared with two weeks ago, with 30 airlines halting services.",,,,,,,x,,,,,,,https://www.aljazeera.com/ajimpact/airlines-suspend-hong-kong-flights-virus-concerns-200205033521107.html
Airlines,2/6/2020,Media,1006254875,"South Korea’s budget airlines will further slash flights to China to cope with a sharp drop in passengers amid the novel coronavirus outbreak. Low-cost carriers have or are planning to shut down 32 of their total 38 flights to China. 
The country’s leading LCC Jeju Air has already canceled seven of its 12 routes to China. The No. 2 player Tway Air decided to suspend all six flights to mainland China until Mar. 28. The airline has also started encouraging staff to take voluntary leave in March as a cost-cutting measure, saying it has “never faced a more difficult time amid multiple headwinds with no end in sight.”
Eastar Jet will progressively halt flights to Shanghai, Yantai, Zhengzhou and Yanji, suspending all of its seven flights to China by the end of this month.  Jin Air shut down all Chinese flights in late January, with Air Seoul following suit early this month. Air Busan will suspend its flights to Yanji from Feb. 17. Out of its nine flights to China, the only one left in service would be the Busan-Qingdao route, but its flights will be reduced to four times a week. Jeju Air, Jin Air, Air Busan and Eastar Jet will also temporarily suspend direct flights to Hong Kong and Macau.",,,,,,,x,,,,,,,
Airlines,2/6/2020,Media,,"Lao Airlines has suspended all flights from the capital Vientiane to three Chinese destinations—Changzhou, Shanghai, and Hangzhou—in response to novel coronavirus fears. The airline announced on social media that it would refund passengers who bought tickets to travel to mainland China between January 24 and February 24.",,,,,,,,,,,,,,https://www.newsweek.com/china-neighbors-close-borders-coronavirus-sars-1484978
Airlines,2/7/2020,Media,,"Hong Kong Airlines on 7 February said that it is taking “vigorous measures” to ensure its survival, including slashing hundreds of jobs. The novel coronavirus outbreak poses a “serious threat” to its business, the beleaguered airline said in a statement. The airline will reduce our operation from 82 to 30 sectors daily between 11 February and March, suspending flights to mainland China, South Korea, Japan and other Asian destinations.",,,,,,,x,,,,,,,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-07-20-intl-hnk/index.html
Airlines,2/10/2020,Media,,"Iran and Iraq are joining United Arab Emirates to suspend flights from China.  

",,,,,,,x,,,,,,,https://www.middleeasteye.net/news/uae-confirms-two-new-cases-coronavirus
Airlines,2/10/2020,Media,,"British Airways on 10 February cancelled all of its flights to mainland China until the end of March as the UK government continues to advise against all but essential travel to China. All the carrier’s flights from Beijing and Shanghai have been suspended until April 1.
Last week Virgin Atlantic announced it would extend its Heathrow-Shanghai flight suspension until March 28.
Cathay Pacific has suspended nine international routes from Hong Kong until March 28 – to London Gatwick, Rome, Washington DC, Newark, Male, Davao, Clark, Jeju and Taichung.",,,,,,,x,,,,,,,https://www.businesstraveller.com/business-travel/2020/02/10/coronavirus-british-airways-extends-beijing-and-shanghai-route-suspensions/
Airlines,2/11/2020,Media,,"Singapore Airlines has suspended flights between Singapore and Beijing, Shanghai and Guangzhou until March 29. it subsidiary SilkAir has suspended flights between Singapore and Shenzhen, Xiamen, Chengdu and Chongqing for the same period.",,,,,,,x,,,,,,,https://www.aseanbriefing.com/news/coronavirus-asia-asean-live-updates-by-country/
Airlines,2/11/2020,Media,,Philippine Airlines cancels flights between Manila and Taipei as the government expands travels bans to include Taiwan.,,,,,,,x,,,,,,,https://www.aseanbriefing.com/news/coronavirus-asia-asean-live-updates-by-country/
Airlines,2/11/2020,Media,1006291957,"Currently, African airlines, EgyptAir, Royal Air Maroc, Kenya Airways, RwandAir, Air Mauritius, Air Madagascar and Air Algeria, have all suspended flights to the Middle Kingdom. Ethiopian Airlines continues its flights, but has reduced its flights from 7 to 5 weekly flights to Beijing, Guangzhou and Shanghai, and from 4 to 2 to Chengdu. ",,,,,,,x,,,,,,,https://gphin.canada.ca/cepr/showarticle.jsp?docId=1006291957
Airlines,2/11/2020,Media,,Qantas Airways this week enforced the temporary suspension of its two direct services to mainland China until March 28.,,,,,,,x,,,,,,,https://www.dailymail.co.uk/news/article-7988497/Australia-extend-China-travel-ban-coronavirus-despite-losing-1billion-week-tourism.html
Airlines,2/11/2020,Media,1006294951,"American Airlines is extending the suspension of its flights to China and Hong Kong until 23-24 April, depending on the route.",,,,,,,x,,,,,,,
