,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
Exit screening and isolation or quarantine,-1.3395255,-1.4171133,-1.1960819,-1.5978833,-1.2735646,-1.5948999,-1.7289869,-1.2598512,-1.4653856,-0.9837947
Financial packages,-0.99986523,-1.3537892,-1.5646677,-1.2799877,-1.6235315,-1.7022351,-1.353449,-1.4981767,-1.17791,-1.2576836
General public awareness campaigns,-1.4383614,-1.3718244,-1.1818889,-1.3548427,-1.3754909,-1.4845595,-1.6756129,-1.3607746,-1.4368005,-1.3993376
Isolation,-1.4513819,-1.7666785,-1.3094507,-1.3846902,-1.6277275,-1.3954479,-1.4142766,-1.4601172,-1.5322185,-1.1872721
Legal and policy regulations,-1.4684327,-1.3370255,-1.352842,-1.4806415,-1.630888,-1.401024,-1.4651923,-1.270813,-1.2080435,-1.0902725
Limiting face touching,-1.2085551,-1.2664646,-1.6391388,-1.2068982,-1.2385039,-1.7762601,-1.5638427,-1.7401924,-1.2647821,-1.1221646
Not of interest,-1.3733622,-1.7894012,-1.3873779,-1.5003186,-1.7889069,-1.3578907,-1.1944638,-1.6288003,-1.6214509,-1.1324049
Other,-1.4234565,-1.6988229,-1.5660443,-1.5297139,-1.6246146,-1.4547182,-1.4726142,-1.4789517,-1.3051955,-0.9896716
Passive case detection,-1.3162888,-1.6808623,-1.4506667,-1.2160655,-1.7649726,-1.7836345,-1.682221,-1.6464239,-1.4969038,-1.3051718
Performing hand hygiene,-1.3914366,-1.5192703,-1.4179415,-1.3850452,-1.5919688,-1.5208285,-1.31832,-1.3249145,-1.1775423,-1.2271824
Performing respiratory etiquette,-0.8918019,-1.8650261,-1.4687864,-1.514594,-1.3859339,-1.6251543,-1.6718792,-1.8046858,-1.563338,-0.9236997
Physical distancing,-1.3048277,-1.3469121,-1.457067,-1.329616,-1.6158437,-1.5198598,-1.1751562,-1.693106,-1.4777926,-1.288846
Protecting displaced populations,-1.1611515,-1.3988036,-1.5368406,-1.2886981,-1.6960223,-1.5832056,-1.6532663,-1.7530701,-1.4673693,-1.3376025
Protecting populations in closed settings,-1.0750676,-1.3948997,-1.2803211,-1.614003,-1.2409151,-1.770717,-1.1516938,-1.4957272,-1.5215718,-1.4122014
Providing travel advice or warning,-0.90228415,-1.7716191,-1.286114,-1.4338206,-1.5094457,-1.365942,-1.375734,-1.7270007,-1.3662271,-0.8575642
Quarantine,-1.3291656,-1.3142244,-1.200388,-1.4196655,-1.7523613,-1.3411056,-1.2674572,-1.5837971,-1.4202801,-0.9214075
Restricting entry,-1.3424898,-1.7727629,-1.2754501,-1.5990287,-1.2151177,-1.6737428,-1.1309189,-1.8254355,-1.5670286,-0.99661124
Restricting exit,-0.9656025,-1.2844132,-1.1809331,-1.4151975,-1.3798348,-1.7458414,-1.6674055,-1.7168115,-1.3979357,-0.9851935
Restricting private gatherings at home,-1.439692,-1.2964932,-1.60212,-1.5869355,-1.3070848,-1.4525025,-1.2358483,-1.7807044,-1.543194,-1.0646923
Restricting visas,-0.9087005,-1.5339292,-1.6854808,-1.362443,-1.7536851,-1.7431779,-1.3344244,-1.7642031,-1.6276902,-0.9613976
Scaling up,-0.86722344,-1.743946,-1.5528238,-1.7106105,-1.6897991,-1.6450691,-1.202268,-1.3329664,-1.5555366,-1.2131152
Shielding vulnerable groups,-0.9771578,-1.8153139,-1.5414495,-1.5172131,-1.5621464,-1.5760548,-1.1636509,-1.5494653,-1.4822575,-0.9837269
Stay-at-home order,-1.0362083,-1.3959719,-1.5929815,-1.7233676,-1.6887558,-1.4755169,-1.5869415,-1.4586939,-1.2130717,-0.9982541
Suspending or restricting international ferries or ships,-1.2556019,-1.5108258,-1.5640088,-1.2432567,-1.2930732,-1.5643815,-1.6117173,-1.3878986,-1.4655554,-1.2386829
Suspending or restricting international flights,-1.0546552,-1.7743845,-1.4017313,-1.3591932,-1.6882397,-1.7734321,-1.61741,-1.6540185,-1.3016913,-1.3527907
Suspending or restricting movement,-0.96189773,-1.3795643,-1.4361241,-1.3267277,-1.4359465,-1.6337428,-1.6842593,-1.4999517,-1.2895778,-1.4305499
Using antibodies for prevention,-1.3183893,-1.3538871,-1.4890618,-1.6925693,-1.324944,-1.6304368,-1.710703,-1.7480041,-1.4749733,-1.4302138
Using medications for treatment,-0.92238915,-1.7650216,-1.1886495,-1.597853,-1.214144,-1.6881402,-1.4103022,-1.5574405,-1.2004948,-1.0257871
Using other personal protective equipment,-1.4406521,-1.5110673,-1.4181746,-1.3958231,-1.5609436,-1.2687215,-1.6042899,-1.4036741,-1.453635,-1.436759
Wearing a mask,-0.93757164,-1.8162075,-1.4957731,-1.2816185,-1.2154577,-1.3208665,-1.5087575,-1.6869072,-1.4000695,-1.4108337
